slug,title,year,decade,genres,language,runtime,logline,status,licence_note,territory,credit,publish
sherlock-holmes-and-the-spider-woman-1943,Sherlock Holmes and the Spider Woman,1943,1940s,Mystery; Thriller,English,63,"Sherlock Holmes investigates a series of so-called ""pajama suicides"". He knows the female villain behind them is as cunning as Moriarty and as venomous as a spider.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
sherlock-holmes-and-the-voice-of-terror-1942,Sherlock Holmes and the Voice of Terror,1942,1940s,Mystery; War,,,Holmes is called in to unmask the Nazi saboteur behind a taunting radio broadcast that predicts British disasters before they happen.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",Part of the Sherlock Holmes series,yes
sherlock-holmes-faces-death-1943,Sherlock Holmes Faces Death,1943,1940s,Crime; Mystery; Romance,English,68,"During WWII, several murders occur at a convalescent home where Dr. Watson has volunteered his services. He summons Holmes for help and the master detective proceeds to solve the crime from a long list of suspects including the owners of the home, the staff, and the patients recovering there.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
sherlock-holmes-in-washington-1943,Sherlock Holmes in Washington,1943,1940s,Mystery; Thriller; War,English,71,Sherlock Holmes and Doctor Watson travel to Washington D.C. in order to prevent a secret document from falling into enemy hands.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
sherlock-holmes-pursuit-to-algiers-1945,Sherlock Holmes: Pursuit to Algiers,1945,1940s,Adventure; Crime; Mystery,English,65,Holmes is recruited to escort the heir to a European throne safely back to his homeland after his father's assassination.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
shock-1946,Shock,1946,1940s,Film-Noir; Thriller,English,67,A psychologically distraught woman is committed to a private sanitarium by the man she witnessed commit a murder.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
shock-corridor-1963,Shock Corridor,1963,1960s,Drama; Thriller,,,"A journalist fakes insanity to get committed to an asylum and investigate an unsolved murder, risking his own sanity in the process.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",Directed by Sam Fuller,yes
sing-cowboy-sing-1937,Sing Cowboy Sing,1937,1930s,Western; Musical,,,A singing cowboy clears his outlaw brother's name while breaking up a gang framing him for a string of robberies.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
stagecoach-1939,Stagecoach,1939,1930s,Western,,,"A disparate group of strangers cross dangerous Apache territory together by stagecoach, including an outlaw seeking revenge.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",Directed by John Ford,yes
storm-in-a-teacup-1937,Storm in a Teacup,1937,1930s,Comedy; Romance,English,87,"A local politician in Scotland tries to break the reporter who wrote a negative story about him, and who is also in love with his daughter.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
stray-dog-1949,Stray Dog,1949,1940s,Crime; Drama; Film-Noir,,122,"During a sweltering summer, a rookie homicide detective tries to track down his stolen Colt pistol.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
suddenly-1954,Suddenly,1954,1950s,Thriller; Film-Noir,,,A hired assassin and his crew take over a family's home to use it as a sniper's nest for a planned assassination of the U.S. President.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
summer-of-fear-1978,Summer of Fear,1978,1970s,Horror; Thriller,English,92,"A teenage girl's life is turned upside down after her cousin moves into her house, and as time goes by she begins to suspect that she may be a practitioner of witchcraft.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
taira-clan-saga-1955,Taira Clan Saga,1955,1950s,Drama; History,Japanese,103,"After his father is not rewarded for his military achievements, Taira Kiyomori rebels against the court and the monks who rule the country. He also falls in love with Tokiko and discovers unsettling revelations about his parentage.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
teenage-zombies-1959,Teenage Zombies,1959,1950s,Sci-Fi; Horror,,,Teenagers on a boat trip are stranded on an island run by a mad scientist turning captives into obedient zombie slaves.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
teorema-1968,Teorema,1968,1960s,Drama; Mystery,Italian,98,"A mysterious young man seduces each member of a bourgeois family. When he suddenly leaves, how will their lives change?",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-10th-victim-1965,The 10th Victim,1965,1960s,Action; Comedy; Romance,Italian,92,"In a future where a human vs. human ""Big Hunt"" is used as an alternative to war, a veteran huntress' plan to kill a ""victim"" for a major TV sponsorship deal is compounded by romance.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-addiction-1995,The Addiction,1995,1990s,Drama; Horror,English,82,"A New York philosophy grad student turns into a vampire after getting bitten by one, and then tries to come to terms with her new lifestyle and frequent craving for human blood.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-big-sombrero-1949,The Big Sombrero,1949,1940s,Western; Musical,,,A singing cowboy (Gene Autry) helps a young Mexican-American heiress fend off a scheme to cheat her out of her family's rancho.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
the-blazing-sun-1954,The Blazing Sun,1954,1950s,Crime; Drama; Romance,,105,"A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-brotherhood-1968,The Brotherhood,1968,1960s,Crime; Drama,English,96,"The son of a powerful Mafia don comes home from his army service in Vietnam and wants to lead his own life, but family tradition, intrigues and powerplays involving his older brother dictate otherwise, and he finds himself being slowly drawn back into that world.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-carson-city-kid-1940,The Carson City Kid,1940,1940s,Western,,,A gunfighter hunting the outlaw who killed his brother years ago discovers the trail leads somewhere he never expected.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
the-castle-of-purity-1973,The Castle of Purity,1973,1970s,Drama,,110,"The story of a disciplined and sexually driven man who keeps his family isolated in his home for years to protect them from the ""evil nature"" of human beings while inventing (with his wife) rat poison.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-chess-players-1977,The Chess Players,1977,1970s,Comedy; Drama; History,,129,"In 1856, two obsessed noblemen ignore everything while playing chess and fail to notice British rule extending into their Indian province.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-children-1985,The Children,1985,1980s,Comedy,,84,"7 year-old boy Ernesto intrigues people around him for several reasons. Despite such a young age, he looks like a man on his 40's and also seems a little more intelligent than any of his peers - and the latter fact is what causes him to quit school, refusing to attend it because he doesn't want to learn the things he does not know. His family is very supportive of his actions, even though they don't have any clue of what's to become of him; at the same time the school headmaster and a journalist are concerned about Ernesto's real motivations for leaving school.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-court-martial-of-billy-mitchell-1955,The Court-Martial of Billy Mitchell,1955,1950s,Drama; Biography; History,,,A visionary WWI-era Army general is court-martialed after publicly warning that America's military is dangerously unprepared for the age of air power.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
the-exterminating-angel-1962,The Exterminating Angel,1962,1960s,Drama; Fantasy,Spanish,93,The guests at an upper-class dinner party find themselves unable to leave.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-famous-sword-bijomaru-1945,The Famous Sword Bijomaru,1945,1940s,Drama,,,"Kiyone Sakurai, an apprentice swordmaker makes a sword for his guardian, Kozaemon Onoda. Onoda breaks the sword while defending his lord which eventually leads to his death at the hands of Naito, when Naito demands to marry his daughter Sasae. Sasae vows to avenge her father's death and pleads for Kiyone Sakurai to make a special sword for her. So Kiyone and his fellow swordmaker Kiyotsugu go to the master swordsmith Kiyohide Yamatomori to learn their craft and forge the sword.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-five-pennies-1959,The Five Pennies,1959,1950s,Biography; Drama; Music,,117,"Danny Kaye cuts loose with his trademark musical clowning. Louis ""Satchmo"" Armstrong plays his horn and croons in that famed gargling-granite voice. Big Band icons Bob Crosby, Ray Anthony and Shelly Manne join the fun.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-flavor-of-green-tea-over-rice-1952,The Flavor of Green Tea Over Rice,1952,1950s,Drama,,116,A childless middle-aged couple faces a marital crisis.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-given-word-1962,The Given Word,1962,1960s,Drama,,,"A simple yet devout Christian makes a vow to Saint Barbara after she saves his donkey, but everyone he meets seems determined to misunderstand his intentions. Will he be able to keep his promise in the end?",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-great-madcap-1949,The Great Madcap,1949,1940s,Comedy,Spanish,91,A father decides to teach their bratty kids a lesson about the value of money.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-great-rupert-1950,The Great Rupert,1950,1950s,Comedy; Fantasy,,,A down-on-their-luck vaudeville family's fortunes turn around thanks to a trained squirrel with a mysterious habit of finding hidden money.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
the-hound-of-the-baskervilles-1939,The Hound of the Baskervilles,1939,1930s,Crime; Horror; Mystery,English,80,"Sherlock Holmes and Dr Watson investigate the legend of a supernatural hound, a beast that may be stalking a young heir on the fog-shrouded moorland that makes up his estate.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
the-incredible-petrified-world-1959,The Incredible Petrified World,1959,1950s,Sci-Fi; Adventure,,,A diving bell expedition breaks free and strands four explorers in an underwater cavern with a mysterious long-term castaway.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
the-king-and-four-queens-1956,The King and Four Queens,1956,1950s,Adventure; Comedy; Drama,English,84,Opportunistic con man Dan Kehoe ingratiates himself with the cantankerous mother of four outlaws and their beautiful widows in order to find their hidden gold.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-life-and-loves-of-beethoven-1936,The Life and Loves of Beethoven,1936,1930s,Biography; Drama; Music,,,"Lyrical biography of the classical composer, depicted as a romantical hero, an accursed artist.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-love-of-sumako-the-actress-1947,The Love of Sumako the Actress,1947,1940s,Drama,,,"The stage director Shimamura, who is bringing western theatre to Japan, falls in love with the outspoken actress Sumako Matsui, and leaves his family to be with her, while trying to keep his Art Theatre solvent.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-music-room-1958,The Music Room,1958,1950s,Drama; Music,,95,"Depicts the end days of a decadent zamindar (landlord) in Bengal, and his efforts to uphold his family prestige even when faced with economic adversity.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-only-son-1936,The Only Son,1936,1930s,Drama,Japanese,83,"A widow sends her only son away to receive a better education. Years later, she visits him, finding him a poor school teacher with a wife and son.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-outlaw-1943,The Outlaw,1943,1940s,Western,,,"Billy the Kid, Doc Holliday, and a fiery ranch woman form a tangled love triangle amid gunfights and betrayal on the frontier.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
the-pit-and-the-pendulum-1961,The Pit and the Pendulum,1961,1960s,Drama; Horror; Mystery,English,80,"In the sixteenth century, Francis Barnard travels to Spain to clarify the strange circumstances of his sister's death after she had married the son of a cruel Spanish Inquisitor.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-pizza-triangle-1970,The Pizza Triangle,1970,1970s,Comedy; Drama; Romance,,99,A three-way love affair in the Rome of the early seventies.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-quiet-duel-1949,The Quiet Duel,1949,1940s,Drama,Japanese,95,"A surgeon gets syphilis from a patient when he cuts himself during an operation. The doctor's life is destroyed, but unlike the patient, he doesn't destroy others along with him.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-quiet-man-1952,The Quiet Man,1952,1950s,Comedy; Drama; Romance,English,129,"A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-return-of-frank-james-1940,The Return Of Frank James,1940,1940s,Drama; Western,English,93,Frank James continues to avoid arrest in order to take revenge on the Ford brothers for their murder of his brother Jesse.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-river-1997,The River,1997,1990s,Drama; Romance,Chinese,116,A young man develops severe neck pain after swimming in a polluted river; his dysfunctional parents are unable to provide any relief for him or themselves.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-rules-of-the-game-1939,The Rules of the Game,1939,1930s,Comedy; Drama,French,106,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-snows-of-kilimanjaro-1952,The Snows of Kilimanjaro,1952,1950s,Adventure; Drama; Romance,English,114,Writer Harry Street reflects on his life as he lies dying from an infection while on safari in the shadow of Mount Kilamanjaro.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-story-of-qiu-ju-1992,The Story of Qiu Ju,1992,1990s,Comedy; Drama,Chinese,100,A peasant woman seeks justice after the headman of her village has kicked her husband in the groin.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-story-of-the-last-chrysanthemum-1939,The Story of the Last Chrysanthemum,1939,1930s,Drama; Romance,Japanese,143,"The adopted son of a legendary actor, and an aspiring star himself, turns to his infant brother's wet nurse for support and affection - only for her to give up everything for her beloved's glory.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-stranger-1991,The Stranger,1991,1990s,Drama,,97,"A well-off family is paid an unexpected, and rather unwanted, visit by a man claiming to be the woman's long-lost uncle. The initial suspicion with which they greet the man slowly dissolves as he regales them with stories of his travels.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
the-sundowners-1960,The Sundowners,1960,1960s,Drama,,,An Australian sheep-droving family debates settling down for good as they roam the outback with their flock.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
the-trial-1962,The Trial,1962,1960s,Drama; Mystery,,,"A man is arrested and prosecuted by an opaque, incomprehensible authority for a crime that is never specified, in Welles' adaptation of Kafka's novel.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ, France",Directed by Orson Welles,yes
the-woman-in-the-window-1944,The Woman in the Window,1944,1940s,Film-Noir,,,"A mild-mannered professor's chance encounter with a woman's portrait draws him into an affair, a killing, and a spiraling cover-up.",Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",Directed by Fritz Lang,yes
there-was-a-father-1942,There Was a Father,1942,1940s,Drama,Japanese,87,"A schoolteacher struggles to raise his son Ryohei by himself, having neither money nor future prospects.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
thirst-1957,Thirst,1957,1950s,Drama; Musical; Romance,Hindi,146,"Vijay, a talented but indigent poet, struggles for love and recognition in this selfish world.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
three-swords-of-zorro-1963,Three Swords of Zorro,1963,1960s,Adventure,,,Zorro trains a young successor to take up the mask and defend the oppressed against a corrupt colonial governor.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
throne-of-blood-1957,Throne of Blood,1957,1950s,Drama,Japanese,110,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
ugetsu-1953,Ugetsu,1953,1950s,Drama; Fantasy; War,Japanese,96,"A tale of ambition, family, love, and war set in the midst of the Japanese Civil Wars of the sixteenth century.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
venom-and-eternity-1951,Venom and Eternity,1951,1950s,Drama,,120,"In this experimental film, Isidore Isou, the leader of the lettrist movement, lashes out at conventional cinema and offers a revolutionary form of movie-making: through scratching and bleaching the film, through desynchronizing the soundtrack and the visual track, through deconstructing the story, he aims to renew the seventh art the same way he tried to revolutionize the literary world.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
vixen-1968,Vixen!,1968,1960s,Drama,,70,"A naive bush pilot flies tourists to the wilderness of NW Canada while his nympho wife gets lonely - or does she? A Mountie, a married couple and her biker brother drop by while hubby's away.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
voyage-to-the-planet-of-prehistoric-women-1968,Voyage to the Planet of Prehistoric Women,1968,1960s,Sci-Fi,,,Astronauts sent to rescue a stranded crew on Venus battle prehistoric monsters and unwittingly provoke the planet's mysterious native women.,Licensed,Non-exclusive YouTube licence (VA Media). Available for additional licensing.,"US, CA, UK/Ire, ANZ",,yes
water-2005,Water,2005,2000s,Drama,,117,"Set in colonial India against Gandhi's rise to power, it's the story of 8-year-old Chuyia, who is widowed and sent to a home to live in penitence; once there, Chuyia's feisty presence deeply affects the lives of the other residents.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
we-don-t-live-here-anymore-2004,We Don't Live Here Anymore,2004,2000s,Drama; Romance,,101,An indiscretion between two close friends tears down their respective marriages.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
widows-peak-1994,Widows' Peak,1994,1990s,Comedy; Crime; Mystery,,101,"In 1934, an English widow moves to Widows' Peak, Ireland. She befriends other widows and the son of one. Hostility escalates between her and an Irish spinster.",Available,No current licence on this title. Available across all platforms and territories.,,,yes
woman-in-the-dunes-1964,Woman in the Dunes,1964,1960s,Drama; Thriller,,147,An entomologist on vacation is trapped by local villagers into living with a woman whose life task is shoveling sand for them.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
women-of-the-night-1948,Women of the Night,1948,1940s,Drama,,75,A mistress of a drug dealer in post-war Japan is shocked when she discovers that he is having an affair with her sister.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
women-on-the-verge-of-a-nervous-breakdown-1988,Women on the Verge of a Nervous Breakdown,1988,1980s,Comedy; Drama,,88,A television actress encounters a variety of eccentric characters after embarking on a journey to discover why her lover abruptly left her.,Available,No current licence on this title. Available across all platforms and territories.,,,yes
